variable value N p se lwr upr
PGS-LMM 684 1840 0.371739130434783 0.0112662720324864 0.34920658636981 0.394271674499755
PGS-LMM 733 1880 0.389893617021277 0.0112485598233574 0.367396497374562 0.412390736667991
PGS-LMM 708 1920 0.36875 0.0110107295564183 0.346728540887163 0.390771459112837
PGS-LMM 757 1960 0.386224489795918 0.0109975677570228 0.364229354281873 0.408219625309964
PGS-LMM 697 2000 0.3485 0.010654758326682 0.327190483346636 0.369809516653364
Bolt-LMM 37 40 0.925 0.0416458281223942 0.841708343755212 1.00829165624479
Bolt-LMM 67 80 0.8375 0.041245264879741 0.755009470240518 0.919990529759482
Bolt-LMM 93 120 0.775 0.0381198767049423 0.698760246590115 0.851239753409885
Bolt-LMM 121 160 0.75625 0.0339425928499135 0.688364814300173 0.824135185699827
Bolt-LMM 147 200 0.735 0.0312069703752223 0.672586059249556 0.797413940750444
Bolt-LMM 162 240 0.675 0.0302334665561196 0.614533066887761 0.735466933112239
Bolt-LMM 197 280 0.703571428571429 0.0272919842673231 0.648987460036782 0.758155397106075
Bolt-LMM 233 320 0.728125 0.0248721094033432 0.678380781193314 0.777869218806686
Bolt-LMM 257 360 0.713888888888889 0.0238194331965564 0.666250022495776 0.761527755282002
Bolt-LMM 262 400 0.655 0.0237684139142687 0.607463172171463 0.702536827828537
Bolt-LMM 271 440 0.615909090909091 0.0231872360384205 0.56953461883225 0.662283562985932
Bolt-LMM 318 480 0.6625 0.02158287081229 0.61933425837542 0.70566574162458
Bolt-LMM 296 520 0.569230769230769 0.0217152507819397 0.52580026766689 0.612661270794648
Bolt-LMM 344 560 0.614285714285714 0.0205695152171416 0.573146683851431 0.655424744719998
Bolt-LMM 340 600 0.566666666666667 0.0202301571733701 0.526206352319926 0.607126981013407
Bolt-LMM 374 640 0.584375 0.0194807942028408 0.545413411594318 0.623336588405682
Bolt-LMM 393 680 0.577941176470588 0.0189397330952986 0.540061710279991 0.615820642661185
Bolt-LMM 401 720 0.556944444444444 0.0185126582162537 0.519919128011937 0.593969760876952
Bolt-LMM 408 760 0.536842105263158 0.0180876033179961 0.500666898627166 0.57301731189915
Bolt-LMM 415 800 0.51875 0.0176652355454152 0.48341952890917 0.55408047109083
