method value p se lwr upr h2
fastGWA-PGS 238 0.238 0.0134668481835951 0.21106630363281 0.26493369636719 0.16
fastGWA-PGS 255 0.255 0.0137831418769452 0.22743371624611 0.28256628375389 0.18
fastGWA-PGS 287 0.287 0.0143049292203771 0.258390141559246 0.315609858440754 0.2
fastGWA-PGS 337 0.337 0.0149476085043729 0.307104782991254 0.366895217008746 0.22
fastGWA-PGS 331 0.331 0.0148808265899445 0.301238346820111 0.360761653179889 0.24
fastGWA-PGS 374 0.374 0.0153011110707687 0.343397777858463 0.404602222141537 0.26
fastGWA-PGS 362 0.362 0.0151972365909069 0.331605526818186 0.392394473181814 0.28
fastGWA-PGS 398 0.398 0.0154788888490098 0.36704222230198 0.42895777769802 0.3
fastGWA-PGS 415 0.415 0.0155812387184075 0.383837522563185 0.446162477436815 0.32
fastGWA-PGS 427 0.427 0.0156419627924375 0.395716074415125 0.458283925584875 0.34
fastGWA-PGS 422 0.422 0.015617810345884 0.390764379308232 0.453235620691768 0.36
fastGWA-PGS 476 0.476 0.0157931630777371 0.444413673844526 0.507586326155474 0.38
fastGWA-PGS 467 0.467 0.0157769135131052 0.43544617297379 0.49855382702621 0.4
fastGWA-PGS 475 0.475 0.0157916116973538 0.443416776605292 0.506583223394708 0.42
fastGWA-PGS 521 0.521 0.015797436500901 0.489405126998198 0.552594873001802 0.44
fastGWA-PGS 516 0.516 0.0158032907965398 0.48439341840692 0.54760658159308 0.46
fastGWA-PGS 525 0.525 0.0157916116973538 0.493416776605292 0.556583223394708 0.48
fastGWA-PGS 531 0.531 0.0157809695519635 0.499438060896073 0.562561939103927 0.5
fastGWA-PGS 542 0.542 0.0157555069737537 0.510488986052493 0.573511013947507 0.52
fastGWA-PGS 564 0.564 0.0156813264745046 0.532637347050991 0.595362652949009 0.54
fastGWA-PGS 541 0.541 0.0157581407532742 0.509483718493452 0.572516281506548 0.56
fastGWA-PGS 603 0.603 0.0154722655096143 0.572055468980771 0.633944531019229 0.58
fastGWA-PGS 589 0.589 0.0155588881350821 0.557882223729836 0.620117776270164 0.6
fastGWA-PGS 621 0.621 0.0153414145371279 0.590317170925744 0.651682829074256 0.62
fastGWA-PGS 560 0.56 0.0156971334962789 0.528605733007442 0.591394266992558 0.64
fastGWA-PGS 589 0.589 0.0155588881350821 0.557882223729836 0.620117776270164 0.66
fastGWA-PGS 617 0.617 0.0153724103510152 0.58625517929797 0.64774482070203 0.68
fastGWA-PGS 613 0.613 0.015402305022301 0.582195389955398 0.643804610044602 0.7
fastGWA-PGS 633 0.633 0.0152417518678136 0.602516496264373 0.663483503735627 0.72
fastGWA-PGS 651 0.651 0.0150731217735411 0.620853756452918 0.681146243547082 0.74
fastGWA-PGS 631 0.631 0.0152590628807932 0.600481874238414 0.661518125761586 0.76
fastGWA-PGS 658 0.658 0.0150011999520038 0.627997600095992 0.688002399904008 0.78
fastGWA-PGS 652 0.652 0.0150630674166984 0.621873865166603 0.682126134833397 0.8
fastGWA-PGS 712 0.712 0.0143197765345692 0.683360446930862 0.740639553069138 0.82
fastGWA-PGS 650 0.65 0.0150831031289984 0.619833793742003 0.680166206257997 0.84
fastGWA-PGS 689 0.689 0.0146382717559144 0.659723456488171 0.718276543511829 0.86
fastGWA-PGS 699 0.699 0.0145051370210695 0.669989725957861 0.728010274042139 0.88
fastGWA-PGS 671 0.671 0.0148579608291313 0.641284078341737 0.700715921658263 0.9
fastGWA-PGS 723 0.723 0.0141517136771488 0.694696572645702 0.751303427354298 0.92
fastGWA-PGS 724 0.724 0.0141359117144951 0.69572817657101 0.75227182342899 0.94
fastGWA-PGS 728 0.728 0.0140718158032288 0.699856368393542 0.756143631606458 0.96
Bolt-LMM 15 0.015 0.00384382621875651 0.00731234756248697 0.022687652437513 0.02
Bolt-LMM 38 0.038 0.00604615580348373 0.0259076883930325 0.0500923116069675 0.04
Bolt-LMM 63 0.063 0.0076831634109916 0.0476336731780168 0.0783663268219832 0.06
Bolt-LMM 111 0.111 0.00993373041711924 0.0911325391657615 0.130867460834238 0.08
Bolt-LMM 126 0.126 0.010493998284734 0.105012003430532 0.146987996569468 0.1
